Epoch,Train Loss,Test Loss
1,0.8046920506577743,0.6270283643276461
2,0.5601041032556902,0.31065841644041
3,0.2509846809140423,0.03882907415109296
4,0.06411670750301135,0.002654526540408692
5,0.024546577595174313,0.00031402966124005616
6,0.016883168217579,6.640165960444363e-05
7,0.010895960977333679,1.5029381170132829e-05
8,0.0074674686244402995,3.944043706108078e-06
9,0.006739547484954656,1.4466542922726208e-06
10,0.004057689537212514,5.664183371509939e-07
11,0.003602128261965781,2.317314665890902e-07
12,0.003911456296867855,2.3159055885916162e-07
13,0.003163493084368958,2.3159055885916162e-07
14,0.002631419842420432,2.3159055885916162e-07
15,0.0021713900727295446,2.3159055885916162e-07
16,0.002029542650301377,2.3159055885916162e-07
17,0.002043576637056264,2.3159055885916162e-07
18,0.0012577649040873726,2.3159055885916162e-07
19,0.0008928974807451851,2.3159055885916162e-07
20,0.0015055591828824714,2.3159055885916162e-07
21,0.0008366856625798391,2.3159055885916162e-07
22,0.0012023922096871006,2.3159055885916162e-07
23,0.0014553348597234473,2.3159055885916162e-07
24,0.001572062362549188,2.3159055885916162e-07
25,0.00110444738057164,2.3159055885916162e-07
26,0.001599867393994365,2.3159055885916162e-07
27,0.0009620444199449115,2.3159055885916162e-07
